head verdictExported function jwksFetches 362 captured 441 rows test/prod/grace/limiter 162 161 6 7
merged17r2 verdictExported function jwksFetches 362 captured 720 rows test/prod/grace/limiter 162 161 6 7
=== test
D26 abs %65rasures                 POST  http://127.0.0.1/api/gdpr/%65rasures         scope           | 200 h1 POST /api/gdpr/%65rasures || 200 h1 POST /api/gdpr/%65rasures
D27 abs ./erasures                 POST  http://127.0.0.1/api/gdpr/./erasures         noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D27 abs ./erasures                 POST  http://127.0.0.1/api/gdpr/./erasures         scope           | 200 h1 POST /api/gdpr/./erasures || 200 h1 POST /api/gdpr/./erasures
D28 abs x/../erasures              POST  http://127.0.0.1/api/gdpr/x/../erasures      noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D28 abs x/../erasures              POST  http://127.0.0.1/api/gdpr/x/../erasures      scope           | 200 h1 POST /api/gdpr/x/../erasures || 200 h1 POST /api/gdpr/x/../erasures
D29 erasures/%zz GET               GET   /api/gdpr/erasures/%zz                       noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D29 erasures/%zz GET               GET   /api/gdpr/erasures/%zz                       scope           | 200 h1 GET /api/gdpr/erasures/%zz || 200 h1 GET /api/gdpr/erasures/%zz
D30 erasures/abc;x GET             GET   /api/gdpr/erasures/abc;x                     noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D30 erasures/abc;x GET             GET   /api/gdpr/erasures/abc;x                     scope           | 200 h1 GET /api/gdpr/erasures/abc;x || 200 h1 GET /api/gdpr/erasures/abc;x
D31 abs erasures#f                 POST  http://127.0.0.1/api/gdpr/erasures#f         noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D31 abs erasures#f                 POST  http://127.0.0.1/api/gdpr/erasures#f         scope           | 200 h1 POST /api/gdpr/erasures || 200 h1 POST /api/gdpr/erasures
U01 %zzrasures                     POST  /api/gdpr/%zzrasures                         noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U01 %zzrasures                     POST  /api/gdpr/%zzrasures                         scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U01 %zzrasures                     POST  /api/gdpr/%zzrasures                         none            | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U02 ../gdpr/erasures               POST  /api/gdpr/../gdpr/erasures                   noscope         | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
U02 ../gdpr/erasures               POST  /api/gdpr/../gdpr/erasures                   scope           | 400/NON_CANONICAL_PATH h0 || 400/NON_CANONICAL_PATH h0
