drafter_extra_table 2026-09-17 17:05:27 AEST
== test
  X01 erasures/%2e                   scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/%2e            | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X02 erasures/abc/%2e%2e            noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X02 erasures/abc/%2e%2e            scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/abc/%2e%2e     | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X03 erasures/..%3bx                noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X03 erasures/..%3bx                scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/..%3bx         | r2 200 - 1 GET /api/v1/gdpr/erasures/..%3bx         
  X04 erasures/%2e%2e;x=1            noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/%2e%2e;x=1     | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X04 erasures/%2e%2e;x=1            scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/%2e%2e;x=1     | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X05 Erasures/%2e                   noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X05 Erasures/%2e                   scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/Erasures/%2e            | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X06 ./erasures/..                  noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/./erasures/..           | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X06 ./erasures/..                  scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/./erasures/..           | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X07 erasures/./abc                 noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X07 erasures/./abc                 scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/./abc          | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X08 erasures/abc/.                 noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X08 erasures/abc/.                 scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/abc/.          | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X09 erasures/...                   noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X09 erasures/...                   scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/...            | r2 200 - 1 GET /api/v1/gdpr/erasures/...            
  X10 erasures/%2e%2e%2e             noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X10 erasures/%2e%2e%2e             scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/%2e%2e%2e      | r2 200 - 1 GET /api/v1/gdpr/erasures/%2e%2e%2e      
  X11 erasures/.ref                  noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X11 erasures/.ref                  scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/.ref           | r2 200 - 1 GET /api/v1/gdpr/erasures/.ref           
  X12 erasures/a.b                   noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X12 erasures/a.b                   scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/a.b            | r2 200 - 1 GET /api/v1/gdpr/erasures/a.b            
  X13 erasures/abc.                  noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X13 erasures/abc.                  scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/abc.           | r2 200 - 1 GET /api/v1/gdpr/erasures/abc.           
  X14 erasures/ref..v2               noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X14 erasures/ref..v2               scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/ref..v2        | r2 200 - 1 GET /api/v1/gdpr/erasures/ref..v2        
  X15 erasures/%2E                   noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X15 erasures/%2E                   scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/%2E            | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X16 erasures/..%00                 noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X16 erasures/..%00                 scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/..%00          | r2 200 - 1 GET /api/v1/gdpr/erasures/..%00          
  X17 erasures/%252e%252e            noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X17 erasures/%252e%252e            scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/v1/gdpr/erasures/%252e%252e     | r2 200 - 1 GET /api/v1/gdpr/erasures/%252e%252e     
  X18 erasures/.. POST               noscope          | verdict r1 not-door     r2 undetermined | r1 405 METHOD_NOT_ALLOWED 0                         | r2 405 METHOD_NOT_ALLOWED 0                         
  X18 erasures/.. POST               scope            | verdict r1 not-door     r2 undetermined | r1 405 METHOD_NOT_ALLOWED 0                         | r2 405 METHOD_NOT_ALLOWED 0                         
  X19 erasures/..?x=/erasures        noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/..?x=/erasures | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X19 erasures/..?x=/erasures        scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/..?x=/erasures | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X20 erasures/..#frag               noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X20 erasures/..#frag               scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X21 consent/../erasures/..         noscope          | verdict r1 not-door     r2 undetermined | r1 400 BAD_REQUEST 0                                | r2 400 BAD_REQUEST 0                                
  X21 consent/../erasures/..         scope            | verdict r1 not-door     r2 undetermined | r1 400 BAD_REQUEST 0                                | r2 400 BAD_REQUEST 0                                
  X22 consent/..                     noscope          | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/v1/gdpr/consent/..              | r2 200 - 1 GET /api/v1/gdpr/consent/..              
  X22 consent/..                     scope            | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/v1/gdpr/consent/..              | r2 200 - 1 GET /api/v1/gdpr/consent/..              
  X23 dsr/./pending                  noscope          | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/v1/gdpr/dsr/./pending           | r2 200 - 1 GET /api/v1/gdpr/dsr/./pending           
  X23 dsr/./pending                  scope            | verdict r1 not-door     r2 not-door     | r1 200 - 1 GET /api/v1/gdpr/dsr/./pending           | r2 200 - 1 GET /api/v1/gdpr/dsr/./pending           
  P307 origin                        noscope          | verdict r1 door         r2 door         | r1 307 - 0                                          | r2 307 - 0                                          
  P307 origin                        scope            | verdict r1 door         r2 door         | r1 307 - 0                                          | r2 307 - 0                                          
  P307 abs                           noscope          | verdict r1 door         r2 door         | r1 307 - 0                                          | r2 307 - 0                                          
  P307 abs                           scope            | verdict r1 door         r2 door         | r1 307 - 0                                          | r2 307 - 0                                          
  P307 %65                           noscope          | verdict r1              r2              | r1 307 - 0                                          | r2 307 - 0                                          
  P307 %65                           scope            | verdict r1              r2              | r1 307 - 0                                          | r2 307 - 0                                          
  P307 W01                           noscope          | verdict r1 not-door     r2 undetermined | r1 307 - 0                                          | r2 307 - 0                                          
  P307 W01                           scope            | verdict r1 not-door     r2 undetermined | r1 307 - 0                                          | r2 307 - 0                                          
  non-door originate route rows NOT 200+1 hit at r2: []
== mount
  M /api/./gdpr/erasures/..          noscope  test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/./gdpr/erasures/..          scope    test    | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/x/../gdpr/erasures/abc      noscope  test    | verdict r1              r2              | r1 400 BAD_REQUEST 0                                | r2 400 BAD_REQUEST 0                                
  M /api/x/../gdpr/erasures/abc      scope    test    | verdict r1              r2              | r1 400 BAD_REQUEST 0                                | r2 400 BAD_REQUEST 0                                
  M /API/GDPR/erasures/..            noscope  test    | verdict r1              r2              | r1 200 - 1 GET /API/GDPR/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /API/GDPR/erasures/..            scope    test    | verdict r1              r2              | r1 200 - 1 GET /API/GDPR/erasures/..                | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /API/GDPR/ERASURES/abc           noscope  test    | verdict r1              r2              | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  M /API/GDPR/ERASURES/abc           scope    test    | verdict r1              r2              | r1 200 - 1 GET /API/GDPR/ERASURES/abc               | r2 200 - 1 GET /API/GDPR/ERASURES/abc               
